web-scraper-order,web-scraper-start-url,links,links-href,prix,Kilométrage,Mise en circulation,Énergie,Boite vitesse,Puissance fiscale,Transmission,Carrosserie,Date de l'annonce,Gouvernorat,Marque,Modèle,Génération,Couleur extérieure,Couleur intérieure,Sellerie,Nombre de places,Nombre de portes,Cylindrée,pages
"1711469340-1,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/peugeot/2008/100032"",""35 000        DT"",""175 000                        km"",""05.2016"",""Essence"",""Manuelle"",""5                        cv"",""Traction"",""SUV/4x4"",""22.02.2024"",""Ariana"",""Peugeot"",""2008"",""(A94) 5HB "
"(04/2013 - 10/2019)"",""Beige"",""Noir"",""Tissu"",""5"",""5"",""1199                                                    cm³"",""https://www.automobile.tn/fr/occasion/139"""
"1711469342-2,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/chery/tiggo-2/100152"",""49 400        DT"",""45 000                        km"",""05.2020"",""Essence"",""Manuelle"",""6                        cv"",""Traction"",""SUV/4x4"",""26.02.2024"",""Sousse"",""Chery"",""Tiggo 2"",""Rouge"",""Noir"",""Similicuir"",""5"",""5"","""",""998                                                    cm³"",""https://www.automobile.tn/fr/occasion/139"""
"1711469344-3,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/volkswagen/golf-7/100223"",""46 000        DT"",""145 000                        km"",""06.2013"",""Essence"",""Manuelle"",""5                        cv"",""Traction"",""Berline"",""04.03.2024"",""Sousse"",""Volkswagen"",""Golf 7"",""VII SW "
"(04/2013 - 10/2016)"",""Gris argent"",""Marron"",""Similicuir"",""5"",""5"",""5                                                    cv"",""https://www.automobile.tn/fr/occasion/139"""
"1711469347-4,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/seat/ibiza/100573"",""53 000        DT"",""80 000                        km"",""09.2020"",""Essence"",""Manuelle"",""5                        cv"",""Traction"",""Citadine"",""10.03.2024"",""Ariana"",""Seat"",""Ibiza"",""Blanc"",""Noir"",""Tissu"",""5"",""4"","""",""999                                                    cm³"",""https://www.automobile.tn/fr/occasion/139"""
"1711469349-5,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/haval/h6/100668"",""68 000        DT"",""80 000                        km"",""11.2017"",""Essence"",""Automatique"",""9                        cv"",""Traction"",""SUV/4x4"",""13.03.2024"",""Nabeul"",""Haval"",""H6"",""Blanc"",""Noir"",""Cuir intégral"",""5"",""5"","""",""1500                                                    cm³"",""https://www.automobile.tn/fr/occasion/139"""
"1711469351-6,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/peugeot/2008/100688"",""45 000        DT"",""92 000                        km"",""06.2015"",""Essence"",""Manuelle"",""5                        cv"",""Traction"",""SUV/4x4"",""14.03.2024"",""Ariana"",""Peugeot"",""2008"",""(A94) 5HB "
"(04/2013 - 10/2019)"",""Marron"",""Gris"",""Tissu"",""5"",""5"",""1199                                                    cm³"",""https://www.automobile.tn/fr/occasion/139"""
"1711469354-7,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/ssangyong/actyon-sports/100692"",""50 000        DT"",""200 000                        km"",""10.2018"",""Diesel"",""Manuelle"",""7                        cv"",""Propulsion"",""Pick up"",""14.03.2024"",""Tunis"",""Ssangyong"",""Actyon Sports"",""II "
"(01/2012 - Aujourd'hui)"",""Gris anthracite"",""Noir"",""Tissu"",""5"",""4"",""7                                                    cv"",""https://www.automobile.tn/fr/occasion/139"""
"1711469356-8,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/great-wall/m4/98802"",""41 200        DT"",""94 000                        km"",""04.2019"",""Essence"",""Manuelle"",""6                        cv"",""Traction"",""Autres"",""19.02.2024"",""Ben Arous"",""Great Wall"",""M4"",""Rouge"",""Cuir intégral"","""","""","""","""","""",""https://www.automobile.tn/fr/occasion/139"""
"1711469358-9,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/mitsubishi/pajero/98914"",""33 000        DT"",""300 000                        km"",""12.1998"",""Diesel"",""Manuelle"",""11                        cv"",""Propulsion"",""SUV/4x4"",""19.02.2024"",""Gabès"",""Mitsubishi"",""Pajero"",""Blanc"","""","""","""","""","""","""",""https://www.automobile.tn/fr/occasion/139"""
"1711469360-10,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/bmw/serie-1-5p/99926"",""68 000        DT"",""190 000                        km"",""01.2018"",""Essence"",""Automatique"",""7                        cv"",""Propulsion"",""Citadine"",""19.02.2024"",""Sousse"",""BMW"",""Série 1"",""(F20) LCI 5 portes "
"(03/2015 - 09/2019)"",""Noir"",""Beige"",""Tissu"",""5"",""4"",""7                                                    cv"",""https://www.automobile.tn/fr/occasion/139"""
"1711469363-11,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/toyota/prado/99935"",""75 000        DT"",""350 000                        km"",""06.2003"",""Diesel"",""Manuelle"",""11                        cv"",""Intégrale"",""SUV/4x4"",""19.02.2024"",""Gabès"",""Toyota"",""Prado"",""120 (_J12_) "
"(09/2002 - 08/2009)"",""Bleu"",""Gris"",""Tissu"",""5"",""2"",""11                                                    cv"",""https://www.automobile.tn/fr/occasion/139"""
"1711469365-12,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/mini/3-portes/99937"",""31 500        DT"",""179 000                        km"",""07.2010"",""Essence"",""Manuelle"",""4                        cv"",""Traction"",""Citadine"",""19.02.2024"",""Tunis"",""Mini"",""3 portes"",""2 (R56) "
"(11/2006 - 07/2010)"",""Beige"",""Noir"",""Tissu"",""4"",""3"",""4000                                                    cm³"",""https://www.automobile.tn/fr/occasion/139"""
"1711469373-13,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/renault/megane/99942"",""52 000        DT"",""120 000                        km"",""06.2019"",""Diesel"",""Manuelle"",""6                        cv"",""Intégrale"",""Berline"",""19.02.2024"",""Kasserine"",""Renault"",""Megane"",""IV Hatchback "
"(11/2015 - 06/2020)"",""Blanc"",""Noir"",""Tissu"",""5"",""5"",""6                                                    cv"",""https://www.automobile.tn/fr/occasion/138"""
"1711469375-14,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/mini/3-portes/99950"",""30 000        DT"",""229 000                        km"",""01.2010"",""Essence"",""Manuelle"",""5                        cv"",""Propulsion"",""Coupé"",""19.02.2024"",""Tunis"",""Mini"",""3 portes"",""Beige"",""Noir"",""Tissu"",""4"",""3"","""",""1397                                                    cm³"",""https://www.automobile.tn/fr/occasion/138"""
"1711469377-15,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/peugeot/207/99951"",""28 000        DT"",""94 910                        km"",""12.2011"",""Essence"",""Manuelle"",""5                        cv"",""Traction"",""Citadine"",""20.02.2024"",""Tunis"",""Peugeot"",""207"",""Gris Shark"",""Gris"",""Tissu"",""5"",""4"","""",""1360                                                    cm³"",""https://www.automobile.tn/fr/occasion/138"""
"1711469380-16,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/mazda/cx-5/98293"",""78 000        DT"",""100 000                        km"",""01.2017"",""Essence"",""Automatique"",""9                        cv"",""Traction"",""SUV/4x4"",""20.02.2024"",""Sfax"",""Mazda"",""CX-5"",""Gris Shark"",""Cuir intégral"","""","""","""","""","""",""https://www.automobile.tn/fr/occasion/138"""
"1711469382-17,""https://www.automobile.tn/fr/occasion"","""",""https://www.automobile.tn/fr/occasion/mg/gs/99954"",""65 000        DT"",""100 000                        km"",""01.2018"",""Essence"",""Automatique"",""9                        cv"",""Intégrale"",""SUV/4x4"",""20.02.2024"",""Mahdia"",""MG"",""GS"",""Orange"",""Beige"",""Cuir intégral"",""5"",""4"","""",""1490                                                    cm³"",""https://www.automobile.tn/fr/occasion/138"""
